City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Kavaratti,10.5669,72.642,84.67,72,32,5.79,IN,2022-04-16 14:54:22
132,Kahului,20.8947,-156.47,74.84,82,100,13.8,US,2022-04-16 14:45:45
133,Yellowknife,62.456,-114.3525,-1.68,71,75,9.22,CA,2022-04-16 14:54:23
134,Khatanga,71.9667,102.5,15.04,98,96,2.8,RU,2022-04-16 14:54:23
135,Sakakah,29.9697,40.2064,87.37,4,37,9.42,SA,2022-04-16 14:54:24
136,Altay,47.8667,88.1167,43.86,36,0,8.79,CN,2022-04-16 14:54:24
137,Mar Del Plata,-38.0023,-57.5575,61.88,87,100,12.66,AR,2022-04-16 14:54:25
138,Pitimbu,-7.4706,-34.8086,88.39,68,60,10.47,BR,2022-04-16 14:46:59
139,Makakilo City,21.3469,-158.0858,70.02,86,100,4.61,US,2022-04-16 14:54:25
140,Saint George,37.1041,-113.5841,64.26,27,0,17.27,US,2022-04-16 14:53:47
141,Yulin,22.6333,110.15,61.57,86,100,5.91,CN,2022-04-16 14:54:26
142,Mindelo,16.8901,-24.9804,78.35,50,20,14.97,CV,2022-04-16 14:55:26
143,Port Elizabeth,-33.918,25.5701,65.1,66,0,10.36,ZA,2022-04-16 14:49:30
144,Mbeya,-8.9,33.45,65.16,93,85,4.32,TZ,2022-04-16 14:55:27
145,Luderitz,-26.6481,15.1594,72.12,50,0,15.12,NA,2022-04-16 14:55:27
146,Soria,41.6667,-2.6667,65.86,28,0,10.47,ES,2022-04-16 14:55:27
147,Santa Marta,11.2408,-74.199,89.89,67,20,5.75,CO,2022-04-16 14:52:09
148,Nakonde,-9.3421,32.745,65.93,91,100,5.35,ZM,2022-04-16 14:55:28
149,Esperance,-33.8667,121.9,62.44,77,89,16.96,AU,2022-04-16 14:55:29
150,Baykit,61.67,96.37,39.33,99,100,4.65,RU,2022-04-16 14:55:29
151,Simplicio Mendes,-7.8539,-41.9103,95.88,35,19,5.01,BR,2022-04-16 14:55:29
152,Lamu,-2.2717,40.902,84.42,76,100,13.78,KE,2022-04-16 14:49:21
153,Vestmannaeyjar,63.4427,-20.2734,47.39,100,100,20.71,IS,2022-04-16 14:48:02
154,Soure,-0.7167,-48.5233,83.55,71,80,7.31,BR,2022-04-16 14:55:30
155,Kindu,-2.95,25.95,80.87,66,98,1.52,CD,2022-04-16 14:55:30
156,Berlevag,70.8578,29.0864,37.2,90,100,28.54,NO,2022-04-16 14:55:31
157,Ribeira Grande,38.5167,-28.7,64.8,68,40,10.36,PT,2022-04-16 14:49:31
158,Matagami,49.7502,-77.6328,30.31,80,100,13.8,CA,2022-04-16 14:55:31
159,Ahipara,-35.1667,173.1667,62.02,91,70,7.78,NZ,2022-04-16 14:49:30
160,Sweetwater,25.7634,-80.3731,83.01,73,75,11.99,US,2022-04-16 14:55:32
161,San Felipe,10.3399,-68.7425,88.81,52,33,1.88,VE,2022-04-16 14:55:32
162,Cooma,-36.2333,149.1333,42.57,100,4,6.91,AU,2022-04-16 14:55:33
163,Ilulissat,69.2167,-51.1,2.12,74,2,1.57,GL,2022-04-16 14:55:33
164,Beira,-19.8436,34.8389,84.29,79,40,18.41,MZ,2022-04-16 14:55:34
165,Esqueda,30.7167,-109.5833,66.87,9,100,4.21,MX,2022-04-16 14:55:34
166,Port Macquarie,-31.4333,152.9167,55.89,81,21,5.53,AU,2022-04-16 14:55:34
167,Cap Malheureux,-19.9842,57.6142,78.48,78,11,7.0,MU,2022-04-16 14:49:32
168,Bangangte,5.1409,10.5198,74.43,65,89,1.72,CM,2022-04-16 14:55:35
169,Kimparana,12.8347,-4.9244,93.22,35,82,21.85,ML,2022-04-16 14:55:35
170,Artyom,40.4723,50.333,55.54,77,3,14.41,AZ,2022-04-16 14:55:36
171,Havoysund,70.9963,24.6622,41.23,96,100,34.65,NO,2022-04-16 14:55:36
172,Pevek,69.7008,170.3133,0.61,98,100,3.83,RU,2022-04-16 14:55:36
173,Dudinka,69.4058,86.1778,25.63,94,100,4.59,RU,2022-04-16 14:55:37
174,Vanimo,-2.6741,141.3028,78.58,87,51,3.0,PG,2022-04-16 14:55:37
175,Tocopilla,-22.092,-70.1979,67.82,63,4,9.35,CL,2022-04-16 14:55:38
176,Nantucket,41.2835,-70.0995,56.01,77,0,21.85,US,2022-04-16 14:52:58
177,Margate,51.3813,1.3862,55.69,78,1,1.01,GB,2022-04-16 14:55:38
178,Puro,12.4841,123.3827,79.88,78,34,7.99,PH,2022-04-16 14:55:39
179,Faya,18.3851,42.4509,75.72,34,16,7.81,SA,2022-04-16 14:55:39
180,Brae,60.3964,-1.353,47.03,91,100,18.66,GB,2022-04-16 14:49:28
181,Bilibino,68.0546,166.4372,9.75,93,94,4.52,RU,2022-04-16 14:50:44
182,Xining,36.6167,101.7667,41.94,66,95,7.58,CN,2022-04-16 14:55:40
183,Cuitareo,19.6167,-100.6,71.6,29,78,2.13,MX,2022-04-16 14:55:40
184,Ambon,-3.6954,128.1814,80.74,89,40,4.61,ID,2022-04-16 14:55:41
185,Bethel,41.3712,-73.414,61.36,50,100,10.0,US,2022-04-16 14:55:41
186,Ciudad Bolivar,8.1222,-63.5497,90.5,42,88,10.51,VE,2022-04-16 14:55:42
187,Sangar,63.9242,127.4739,0.37,100,90,2.33,RU,2022-04-16 14:55:42
188,Gannan,47.9147,123.5031,40.53,29,97,5.79,CN,2022-04-16 14:55:43
189,Bonthe,7.5264,-12.505,87.84,57,23,12.93,SL,2022-04-16 14:55:43
190,Tigil,57.8,158.6667,3.42,100,67,2.3,RU,2022-04-16 14:56:44
191,Isangel,-19.55,169.2667,79.32,83,41,6.26,VU,2022-04-16 14:56:44
192,Mesagne,40.5588,17.8083,68.13,72,0,12.66,IT,2022-04-16 14:56:45
193,Vila Velha,-20.3297,-40.2925,80.55,57,0,14.0,BR,2022-04-16 14:56:45
194,Maple Creek,49.9168,-109.4848,19.81,79,11,5.75,CA,2022-04-16 14:56:46
195,Jambi,-1.6,103.6167,75.67,94,98,1.95,ID,2022-04-16 14:56:46
196,Zhezkazgan,47.8043,67.7144,66.18,37,75,8.95,KZ,2022-04-16 14:56:47
197,Puerto Ayora,-0.7393,-90.3518,76.96,79,63,6.22,EC,2022-04-16 14:56:47
198,Rio Tercero,-32.173,-64.1141,70.45,32,51,9.04,AR,2022-04-16 14:56:48
199,Hambantota,6.1241,81.1185,82.74,89,75,4.61,LK,2022-04-16 14:56:48
200,Caucaia,-3.7361,-38.6531,87.75,77,75,11.5,BR,2022-04-16 14:56:49
201,Bana,5.1481,10.2762,74.21,66,79,1.57,CM,2022-04-16 14:56:49
202,Zhangjiakou,40.81,114.8794,53.53,16,80,5.08,CN,2022-04-16 14:56:50
203,Korla,41.7597,86.1469,55.53,11,0,5.28,CN,2022-04-16 14:56:50
204,Zagare,56.3592,23.25,43.66,52,45,11.9,LT,2022-04-16 14:56:50
205,Akhtubinsk,48.2795,46.1722,64.81,43,25,1.41,RU,2022-04-16 14:56:51
206,Lavrentiya,65.5833,-171.0,24.71,96,100,11.34,RU,2022-04-16 14:46:56
207,Torbay,47.6666,-52.7314,47.28,92,75,24.16,CA,2022-04-16 14:49:20
208,Chokurdakh,70.6333,147.9167,-11.76,100,98,2.8,RU,2022-04-16 14:50:41
209,Nicoya,10.1483,-85.452,86.86,48,100,9.84,CR,2022-04-16 14:56:53
210,Balassagyarmat,48.073,19.2961,49.37,67,98,7.25,HU,2022-04-16 14:56:53
211,Tanta,30.7885,31.0019,84.96,13,34,15.37,EG,2022-04-16 14:56:54
212,Raudeberg,61.9875,5.1352,50.95,83,100,23.38,NO,2022-04-16 14:56:54
213,Korhogo,9.45,-5.6333,91.24,41,98,7.49,CI,2022-04-16 14:56:55
214,Fortuna,40.5982,-124.1573,43.66,96,100,5.75,US,2022-04-16 14:56:55
215,Sitka,57.0531,-135.33,37.04,83,99,1.88,US,2022-04-16 14:56:56
216,Concepcion Del Uruguay,-32.4825,-58.2372,69.98,65,0,3.0,AR,2022-04-16 14:56:56
217,Mahajanga,-15.7167,46.3167,91.42,55,20,3.44,MG,2022-04-16 14:46:58
218,Cabo San Lucas,22.8909,-109.9124,77.5,49,99,7.09,MX,2022-04-16 14:47:52
219,Waingapu,-9.6567,120.2641,80.28,86,52,6.17,ID,2022-04-16 14:56:57
220,Ningbo,29.8782,121.5495,53.58,71,0,4.47,CN,2022-04-16 14:56:58
221,Lasa,46.6166,10.7002,62.69,59,13,8.32,IT,2022-04-16 14:56:58
222,Marsa Matruh,31.3525,27.2453,70.0,56,99,23.02,EG,2022-04-16 14:56:59
223,Guerrero Negro,27.9769,-114.0611,61.84,77,85,13.06,MX,2022-04-16 14:56:59
224,Kaitangata,-46.2817,169.8464,45.07,83,84,4.9,NZ,2022-04-16 14:49:23
225,Quatre Cocos,-20.2078,57.7625,78.91,78,42,16.78,MU,2022-04-16 14:57:00
226,Klaksvik,62.2266,-6.589,47.32,94,93,19.17,FO,2022-04-16 14:49:21
227,Dunedin,-45.8742,170.5036,50.81,70,20,8.99,NZ,2022-04-16 14:57:00
228,College,64.8569,-147.8028,17.58,68,0,4.61,US,2022-04-16 14:57:01
229,Aykhal,66.0,111.5,24.6,95,100,13.11,RU,2022-04-16 14:57:01
230,Lompoc,34.6391,-120.4579,55.58,89,100,10.0,US,2022-04-16 14:57:02
231,Airai,-8.9266,125.4092,60.44,96,91,2.1,TL,2022-04-16 14:57:02
232,Kaeo,-35.1,173.7833,61.32,96,99,9.84,NZ,2022-04-16 14:57:03
233,Semirom,31.4167,51.5667,55.4,49,31,20.27,IR,2022-04-16 14:58:03
234,Rincon,32.296,-81.2354,73.85,83,100,4.61,US,2022-04-16 14:56:24
235,Maniitsoq,65.4167,-52.9,22.05,52,0,1.43,GL,2022-04-16 14:58:04
236,Asau,46.4333,26.4,51.96,99,100,4.72,RO,2022-04-16 14:49:25
237,Banepa,27.6298,85.5214,73.72,25,20,3.44,NP,2022-04-16 14:58:05
238,Katsuura,35.1333,140.3,52.84,73,98,10.8,JP,2022-04-16 14:58:05
239,Sarab,38.6066,44.9883,59.14,32,31,8.25,IR,2022-04-16 14:58:06
240,Geraldton,-28.7667,114.6,70.21,73,100,12.66,AU,2022-04-16 14:58:07
241,Jawhar,2.7809,45.5005,85.69,58,100,17.43,SO,2022-04-16 14:58:07
242,Marawi,7.9986,124.2928,69.13,95,83,0.96,PH,2022-04-16 14:58:07
243,Zhigansk,66.7697,123.3711,-3.35,100,22,3.71,RU,2022-04-16 14:58:08
244,Hovd,48.0056,91.6419,44.08,15,0,3.24,MN,2022-04-16 14:56:26
245,Mikhaylovka,50.06,43.2379,62.78,59,100,7.72,RU,2022-04-16 14:58:08
246,Meadow Lake,34.8014,-106.5436,63.68,18,76,2.71,US,2022-04-16 14:58:09
247,Pangody,65.85,74.4859,18.97,92,100,16.71,RU,2022-04-16 14:56:32
248,Ginda,30.6945,78.4932,58.1,49,88,8.52,IN,2022-04-16 14:58:09
249,Komsomolskiy,40.4272,71.7189,81.32,21,45,2.3,UZ,2022-04-16 14:58:10
250,Hazleton,40.9584,-75.9746,58.5,67,100,0.0,US,2022-04-16 14:54:47
251,Tuatapere,-46.1333,167.6833,43.65,83,84,1.77,NZ,2022-04-16 14:50:36
252,Oksfjord,70.2396,22.3479,44.67,96,100,17.07,NO,2022-04-16 14:58:11
253,Abu Dhabi,24.4667,54.3667,93.31,44,0,11.5,AE,2022-04-16 14:53:56
254,Trofors,65.5333,13.4063,39.56,100,100,4.81,NO,2022-04-16 14:58:12
255,Broken Hill,-31.95,141.4333,65.91,39,0,8.05,AU,2022-04-16 14:58:12
256,Barrow,71.2906,-156.7887,-2.18,78,0,16.11,US,2022-04-16 14:48:16
257,Russell,32.3502,-85.1999,63.55,93,100,4.61,US,2022-04-16 14:58:13
258,Imbituba,-28.24,-48.6703,67.57,67,100,10.29,BR,2022-04-16 14:58:13
259,Norman Wells,65.282,-126.8329,-14.76,70,20,2.3,CA,2022-04-16 14:58:14
260,Sembakung,3.8167,117.25,73.51,97,97,1.3,ID,2022-04-16 14:58:14
