City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
597,Kandi,BJ,87.13,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
600,Kourou,GF,81.1,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
602,Sorong,ID,85.62,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
603,Meadow Lake,US,77.49,clear sky,34.8014,-106.5436,TumbleWeed RV Park
610,Kawalu,ID,79.72,broken clouds,-7.3817,108.2082,West Jontor
619,Seminole,US,79.16,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
622,Mecca,SA,79.72,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
630,Karratha,AU,87.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
631,Cotonou,BJ,84.18,thunderstorm,6.3654,2.4183,Novotel Cotonou Orisha
632,Kandrian,PG,86.99,overcast clouds,-6.2167,149.55,Kandrian Station
633,Omboue,GA,77.95,light rain,-1.5746,9.2618,Hotel Olako
634,Jardim De Piranhas,BR,77.5,heavy intensity rain,-6.3786,-37.3519,Área de Lazer Olho D'água
636,Tahta,EG,85.35,overcast clouds,26.7693,31.5021,فندق الزيات
642,Biltine,TD,88.05,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
643,Atar,MR,85.59,overcast clouds,20.5169,-13.0499,Oumou Elghoura
648,Kismayo,SO,82.33,overcast clouds,-0.3582,42.5454,Agan-Hotel
650,Panaba,MX,76.77,clear sky,21.2833,-88.2667,Hotel California
651,Inga,BR,77.45,broken clouds,-7.2808,-35.6044,POUSADA FENIX Inga
656,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
658,Pathein,MM,84.9,clear sky,16.7833,94.7333,Pathein Hotel
664,Beruwala,LK,80.96,overcast clouds,6.4788,79.9828,The Palms Hotel
665,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
666,Moussoro,TD,89.83,overcast clouds,13.6408,16.4901,Hôtel Salama
669,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
670,Finschhafen,PG,85.26,moderate rain,-6.6024,147.8681,Cossam Guest House
680,Panalingaan,PH,83.79,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
693,San-Pedro,CI,76.96,overcast clouds,4.7485,-6.6363,Hotel Maria
696,Coahuayana,MX,77.0,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
702,Caravelas,BR,78.03,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
